"filename", "language", "YAML", "Dart", "JSON", "Groovy", "Properties", "XML", "Markdown", "HTML", "C++", "Swift", "comment", "blank", "total"
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/venue_map.dart", "Dart", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 155
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/venue_page.dart", "Dart", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 113
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/repository/data_repository.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/utils/config.helper.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/utils/hex_color.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/area_list.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 47
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/home_map.dart", "Dart", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 226
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/painter_widget.dart", "Dart", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 27, 27, 246
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/photo_gradient.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 97
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/route_list.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 75
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/section_page_view.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/section_widget.dart", "Dart", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 49, 13, 227
"/Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/venue_list.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 92
"/Users/ca_admin/Documents/Development/Bouldr_App/pubspec.yaml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 14, 106
"/Users/ca_admin/Documents/Development/Bouldr_App/test/grade_test.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/ca_admin/Documents/Development/Bouldr_App/test/widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/ca_admin/Documents/Development/Bouldr_App/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 17, 6, 102
"/Users/ca_admin/Documents/Development/Bouldr_App/web/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 41, 2149, 230, 99, 9, 136, 13, 79, 1, 12, 310, 342, 3421
